sku,name,configurable_products,color,description,short_description,price,image,thumbnail,small_image,configurable_option,configurable_option_value,category_ids,store,websites,attribute_set,type,status,tax_class_id,visibility,has_options,weight,is_in_stock,qty
380,Green elastic waist pant,"5380-6M,5380-9M,5380-12M,5380-18M,5380-2T,5380-3T,5380-4T,5380-5Y,5380-6Y,5380-7Y,380-8Y",Green,Green elastic waist pant,Green elastic waist pant,27,/380.jpg,/380.jpg,/380.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 95, 10, 109",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5268,Dark floral skirt,"5268-2T,5268-3T,5268-4T,5268-5Y,5268-6Y,5268-7Y,5268-8Y",Black,Dark floral skirt,Dark floral skirt,20,/5268.jpg,/5268.jpg,/5268.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 118",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5269,Dark floral dress with tie shoulders,"5269-2T,5269-3T,5269-4T,5269-5Y,5269-6Y,5269-7Y,5269-8Y",Black,Dark floral dress with tie shoulders,Dark floral dress with tie shoulders,25,/5269.jpg,/5269.jpg,/5269.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 65",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5270,"Red Stretchie Pant
","5270-6M,5270-9M,5270-12M,5270-18M,5270-2T,5270-3T,5270-4T,5270-5Y,5270-6Y,5270-7Y,5270-8Y",Red,"Red Stretchie Pant
","Red Stretchie Pant
",16,/5270.jpg,/5270.jpg,/5270.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5271,"Hot Pink Stretchie Pant
","5271-6M,5271-9M,5271-12M,5271-18M,5271-2T,5271-3T,5271-4T,5271-5Y,5271-6Y,5271-7Y,5271-8Y",Pink,"Hot Pink Stretchie Pant
","Hot Pink Stretchie Pant
",16,/5271.jpg,/5271.jpg,/5271.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5272,"Purple Stretchie Pant
","5272-6M,5272-9M,5272-12M,5272-18M,5272-2T,5272-3T,5272-4T,5272-5Y",Purple,"Purple Stretchie Pant
","Purple Stretchie Pant
",16,/5272.jpg,/5272.jpg,/5272.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5275,"Black Stretchie Pant
","5275-6M,5275-9M,5275-12M,5275-18M,5275-2T,5275-3T,5275-4T,5275-5Y,5275-6Y,5275-7Y,5275-8Y",Black,"Black Stretchie Pant
","Black Stretchie Pant
",16,/5275.jpg,/5275.jpg,/5275.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5276,"Silver Gray Stretchie Pant
","5276-6M,5276-9M,5276-12M,5276-18M,5276-2T,5276-3T,5276-4T,5276-5Y,5276-6Y,5276-7Y,5276-8Y",Silver,"Silver Gray Stretchie Pant
","Silver Gray Stretchie Pant
",16,/5276.jpg,/5276.jpg,/5276.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5279,"Red Jeggings
","5279-3M,5279-6M,5279-9M,5279-12M,5279-18M,5279-2T,5279-3T,5279-4T,5279-5Y,5279-6Y,5279-7Y,5279-8Y",Red,"Red Jeggings
","Red Jeggings
",18,/5279.jpg,/5279.jpg,/5279.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5280,Gathered waist coral skirt with buttons,"5280-2T,5280-3T,5280-4T,5280-5Y,5280-6Y,5280-7Y,5280-8Y,5280-10Y,5280-12Y,5280-14Y,5280-16Y",Coral,Gathered waist coral skirt with buttons,Gathered waist coral skirt with buttons,20,/5280.jpg,/5280.jpg,/5280.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 118",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5285,Gathered waist red skirt with buttons,"5285-2T,5285-3T,5285-4T,5285-5Y,5285-6Y,5285-7Y,5285-8Y,5285-10Y,5285-12Y,5285-14Y,5285-16Y",Red,Gathered waist red skirt with buttons,Gathered waist red skirt with buttons,20,/5285.jpg,/5285.jpg,/5285.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 118",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5292,Solid pink chino skirt,"5292-2T,5292-3T,5292-4T,5292-5Y,5292-6Y,5292-7Y,5292-8Y,5292-10Y,5292-12Y,5292-14Y",Pink,Solid pink chino skirt,Solid pink chino skirt,20,/5292.jpg,/5292.jpg,/5292.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 118",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5299,Solid Dark blue denim skirt,"5299-2T,5299-3T,5299-4T,5299-5Y,5299-6Y,5299-7Y,5299-8Y,5299-10Y,5299-12Y,5299-14Y,5299-16Y",Blue,Solid Dark blue denim skirt,Solid Dark blue denim skirt,15,/5299.jpg,/5299.jpg,/5299.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"37, 118",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5304,Denim top with tie,"5304-6M,5304-9M,5304-12M,5304-18M,5304-2T,5304-3T,5304-4T,5304-5Y",Denim,Denim top with tie,Denim top with tie,20,/5304.jpg,/5304.jpg,/5304.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 52, 37, 116",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5308,"Blue Jeggings
","5308-6M,5308-9M,5308-12M,5308-18M,5308-2T,5308-3T,5308-4T,5308-5Y,5308-6Y,5308-7Y,5308-8Y",Blue,"Blue Jeggings
","Blue Jeggings
",18,/5308.jpg,/5308.jpg,/5308.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5309,"Dark Denim Jeggings
","5309-6M,5309-9M,5309-12M,5309-18M",Denim,"Dark Denim Jeggings
","Dark Denim Jeggings
",18,/5309.jpg,/5309.jpg,/5309.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5313,"Pink Stretchie Pant
","5313-6M,5313-9M,5313-12M,5313-18M,5313-2T,5313-3T,5313-4T,5313-5Y",Pink,"Pink Stretchie Pant
","Pink Stretchie Pant
",16,/5313.jpg,/5313.jpg,/5313.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 95, 37, 117",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5314,White horse button down,"53146M,5314-9M,5314-12M,5314-18M,5314-2T,5314-3T,5314-4T",White,White horse button down,White horse button down,32,/5314.jpg,/5314.jpg,/5314.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5315,White Mandrian Collar with Blue Dots,"5315-6M,5315-9M,5315-12M,5315-18M,5315-2T,5315-3T,5315-4T,5315-5Y,5315-6Y,5315-7Y,5315-8Y",White,White Mandrian Collar with Blue Dots,White Mandrian Collar with Blue Dots,32,/5315.jpg,/5315.jpg,/5315.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5316,Blue Mandrian Collar with Blue Dots,"5316-6M,5316-9M,5316-12M,5316-18M,5316-2T,5316-3T,5316-4T,5316-5Y,5316-6Y,5316-7Y,5316-8Y",Blue,Blue Mandrian Collar with Blue Dots,Blue Mandrian Collar with Blue Dots,32,/5316.jpg,/5316.jpg,/5316.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5318,Lt Grey Polo Shirt,"5318-12M,5318-18M,5318-2T,5318-3T,5318-4T,5318-5Y,5318-6Y,5318-7Y,5318-8Y",Grey,Lt Grey Polo Shirt,Lt Grey Polo Shirt,19,/5318.jpg,/5318.jpg,/5318.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5319,Florescent Yellow Polo Shirt,"5319-12M,5319-18M,5319-2T,5319-3T,5319-4T,5319-5Y,5319-6Y,5319-7Y,5319-8Y",Yellow,Florescent Yellow Polo Shirt,Florescent Yellow Polo Shirt,19,/5319.jpg,/5319.jpg,/5319.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5320,Blue Polo Shirt,"5320-12M,5320-18M,5320-2T,5320-3T,5320-4T,5320-5Y,5320-6Y,5320-7Y,5320-8Y",Blue,Blue Polo Shirt,Blue Polo Shirt,19,/5320.jpg,/5320.jpg,/5320.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 52, 87, 10, 43",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5325,Blue Denim Heart Ruffle Shirt,"5325-3M,5325-6M,5325-9M,5325-12M,5325-18M,5325-2T,5325-3T,5325-4T,5325-5Y,5325-6Y,5325-7Y,5325-8Y",Denim,Blue Denim Heart Ruffle Shirt,Blue Denim Heart Ruffle Shirt,15,/5325.jpg,/5325.jpg,/5325.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 52, 37, 116",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
5328,Polka Dot Skirt,"5328-12M,5328-18M,5328-2T,5328-3T",Black,Polka Dot Skirt,Polka Dot Skirt,15,/5328.jpg,/5328.jpg,/5328.jpg,[attribute_code::frenchie_size][label::Size][position::0],[label::][attribute_code::frenchie_size][is_percent::0][pricing_value::],"35, 88, 56, 37, 118",admin,base,Default,configurable,Enabled,Taxable Goods,"Catalog, Search",1,1,1,9999
