sku,description,frenchie_size,price,name,category,color,gender
6506-6M,Red and blue check shortsleeve shirt,6 M,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-9M,Red and blue check shortsleeve shirt,9 M,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-12M,Red and blue check shortsleeve shirt,12 M,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-18M,Red and blue check shortsleeve shirt,18 M,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-2T,Red and blue check shortsleeve shirt,2T,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-3T,Red and blue check shortsleeve shirt,3T,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-4T,Red and blue check shortsleeve shirt,4T,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-5Y,Red and blue check shortsleeve shirt,5,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-6Y,Red and blue check shortsleeve shirt,6,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-7Y,Red and blue check shortsleeve shirt,7,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
6506-8Y,Red and blue check shortsleeve shirt,8,32,Red and blue check shortsleeve shirt,Boys Shirts,Red / Blue,Boys
7497-2T,Blue and Green large check short sleeve shirt,2T,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7497-3T,Blue and Green large check short sleeve shirt,3T,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7497-4T,Blue and Green large check short sleeve shirt,4T,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7497-5Y,Blue and Green large check short sleeve shirt,5,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7497-6Y,Blue and Green large check short sleeve shirt,6,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7497-7Y,Blue and Green large check short sleeve shirt,7,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7497-8Y,Blue and Green large check short sleeve shirt,8,32,Blue and Green large check short sleeve shirt,Boys Shirts,Blue / Green,Boys
7830-18M,Orange and blue check shirt,18 M,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-2T,Orange and blue check shirt,2T,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-3T,Orange and blue check shirt,3T,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-4T,Orange and blue check shirt,4T,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-5Y,Orange and blue check shirt,5,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-6Y,Orange and blue check shirt,6,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-7Y,Orange and blue check shirt,7,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830-8Y,Orange and blue check shirt,8,32,Orange and blue check shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-18M,Orange and blue check s/s shirt,18 M,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-2T,Orange and blue check s/s shirt,2T,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-3T,Orange and blue check s/s shirt,3T,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-4T,Orange and blue check s/s shirt,4T,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-5Y,Orange and blue check s/s shirt,5,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-6Y,Orange and blue check s/s shirt,6,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-7Y,Orange and blue check s/s shirt,7,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7830S/S-8Y,Orange and blue check s/s shirt,8,32,Orange and blue check s/s shirt,Boys Shirts,Orange/Blue,Boys
7831-2T,Blue Swiss Dot shirt,2T,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
7831-3T,Blue Swiss Dot shirt,3T,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
7831-4T,Blue Swiss Dot shirt,4T,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
7831-5Y,Blue Swiss Dot shirt,5,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
7831-6Y,Blue Swiss Dot shirt,6,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
7831-7Y,Blue Swiss Dot shirt,7,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
7831-8Y,Blue Swiss Dot shirt,8,32,Blue Swiss Dot shirt,Boys Shirts,Blue,Boys
9002-3T,Orange Speckled Bodysuit with Navy Chambray Tie ,3T,20,Orange Speckled Bodysuit with Navy Chambray Tie ,Boys Shirts,Orange,Boys
9002-4T,Orange Speckled Bodysuit with Navy Chambray Tie ,4T,20,Orange Speckled Bodysuit with Navy Chambray Tie ,Boys Shirts,Orange,Boys
9002-5Y,Orange Speckled Bodysuit with Navy Chambray Tie ,5,20,Orange Speckled Bodysuit with Navy Chambray Tie ,Boys Shirts,Orange,Boys
9002-6Y,Orange Speckled Bodysuit with Navy Chambray Tie ,6,23,Orange Speckled Bodysuit with Navy Chambray Tie ,Boys Shirts,Orange,Boys
9002-7Y,Orange Speckled Bodysuit with Navy Chambray Tie ,7,23,Orange Speckled Bodysuit with Navy Chambray Tie ,Boys Shirts,Orange,Boys
9002-8Y,Orange Speckled Bodysuit with Navy Chambray Tie ,8,23,Orange Speckled Bodysuit with Navy Chambray Tie ,Boys Shirts,Orange,Boys
2122,Tuxedo Un-tied White Shirt,2T,20,Tuxedo Un-tied White Shirt,Boys Shirts,White,Girls 
2123,Tuxedo Un-tied White Shirt,3T,20,Tuxedo Un-tied White Shirt,Boys Shirts,White,Girls 
2134,Tuxedo Un-tied White Shirt,4T,20,Tuxedo Un-tied White Shirt,Boys Shirts,White,Girls 
2125,Tuxedo Un-tied White Shirt,5,20,Tuxedo Un-tied White Shirt,Boys Shirts,White,Girls 
2114,New Grey Tuxedo Shirt,2T,20,New Grey Tuxedo Shirt,Boys Shirts,Grey,Girls 
2115,New Grey Tuxedo Shirt,3T,20,New Grey Tuxedo Shirt,Boys Shirts,Grey,Girls 
2116,New Grey Tuxedo Shirt,4T,20,New Grey Tuxedo Shirt,Boys Shirts,Grey,Girls 
2117,New Grey Tuxedo Shirt,5,20,New Grey Tuxedo Shirt,Boys Shirts,Grey,Girls 
5269-2T,Dark floral dress with tie shoulders,2T,25,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5269-3T,Dark floral dress with tie shoulders,3T,25,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5269-4T,Dark floral dress with tie shoulders,4T,25,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5269-5Y,Dark floral dress with tie shoulders,5,25,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5269-6Y,Dark floral dress with tie shoulders,6,27,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5269-7Y,Dark floral dress with tie shoulders,7,27,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5269-8Y,Dark floral dress with tie shoulders,8,27,Dark floral dress with tie shoulders,Girls Dress,Black,Girls 
5503-2T,Dark blue denim dress with light blue collar and waist,2T,35,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5503-3T,Dark blue denim dress with light blue collar and waist,3T,35,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5503-4T,Dark blue denim dress with light blue collar and waist,4T,35,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5503-5Y,Dark blue denim dress with light blue collar and waist,5,35,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5503-6Y,Dark blue denim dress with light blue collar and waist,6,40,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5503-7Y,Dark blue denim dress with light blue collar and waist,7,40,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5503-8Y,Dark blue denim dress with light blue collar and waist,8,40,Dark blue denim dress with light blue collar and waist,Girls Dress,Denim,Girls 
5405-2T,Denim leggings,2T,20,Denim leggings,Girls Pants,Denim,Girls 
5405-3T,Denim leggings,3T,20,Denim leggings,Girls Pants,Denim,Girls 
5405-4T,Denim leggings,4T,20,Denim leggings,Girls Pants,Denim,Girls 
5405-5Y,Denim leggings,5,20,Denim leggings,Girls Pants,Denim,Girls 
5405-6Y,Denim leggings,6,25,Denim leggings,Girls Pants,Denim,Girls 
5405-7Y,Denim leggings,7,25,Denim leggings,Girls Pants,Denim,Girls 
5405-8Y,Denim leggings,8,25,Denim leggings,Girls Pants,Denim,Girls 
5268-2T,Dark floral skirt,2T,20,Dark floral skirt,Girls Skirts,Black,Girls 
5268-3T,Dark floral skirt,3T,20,Dark floral skirt,Girls Skirts,Black,Girls 
5268-4T,Dark floral skirt,4T,20,Dark floral skirt,Girls Skirts,Black,Girls 
5268-5Y,Dark floral skirt,5,20,Dark floral skirt,Girls Skirts,Black,Girls 
5268-6Y,Dark floral skirt,6,23,Dark floral skirt,Girls Skirts,Black,Girls 
5268-7Y,Dark floral skirt,7,23,Dark floral skirt,Girls Skirts,Black,Girls 
5268-8Y,Dark floral skirt,8,23,Dark floral skirt,Girls Skirts,Black,Girls 
5280-2T,Gathered waist coral skirt with buttons,2T,20,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-3T,Gathered waist coral skirt with buttons,3T,20,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-4T,Gathered waist coral skirt with buttons,4T,20,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-5Y,Gathered waist coral skirt with buttons,5,20,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-6Y,Gathered waist coral skirt with buttons,6,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-7Y,Gathered waist coral skirt with buttons,7,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-8Y,Gathered waist coral skirt with buttons,8,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-10Y,Gathered waist coral skirt with buttons,10,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-12Y,Gathered waist coral skirt with buttons,12,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-14Y,Gathered waist coral skirt with buttons,14,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5280-16Y,Gathered waist coral skirt with buttons,16,25,Gathered waist coral skirt with buttons,Girls Skirts,Coral,Girls 
5285-2T,Gathered waist red skirt with buttons,2T,20,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-3T,Gathered waist red skirt with buttons,3T,20,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-4T,Gathered waist red skirt with buttons,4T,20,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-5Y,Gathered waist red skirt with buttons,5,20,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-6Y,Gathered waist red skirt with buttons,6,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-7Y,Gathered waist red skirt with buttons,7,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-8Y,Gathered waist red skirt with buttons,8,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-10Y,Gathered waist red skirt with buttons,10,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-12Y,Gathered waist red skirt with buttons,12,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-14Y,Gathered waist red skirt with buttons,14,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5285-16Y,Gathered waist red skirt with buttons,16,25,Gathered waist red skirt with buttons,Girls Skirts,Red,Girls 
5292-2T,Solid pink chino skirt,2T,20,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-3T,Solid pink chino skirt,3T,20,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-4T,Solid pink chino skirt,4T,20,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-5Y,Solid pink chino skirt,5,20,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-6Y,Solid pink chino skirt,6,25,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-7Y,Solid pink chino skirt,7,25,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-8Y,Solid pink chino skirt,8,25,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-10Y,Solid pink chino skirt,10,25,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-12Y,Solid pink chino skirt,12,25,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5292-14Y,Solid pink chino skirt,14,25,Solid pink chino skirt,Girls Skirts,Pink,Girls 
5299-2T,Solid Dark blue denim skirt,2T,15,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-3T,Solid Dark blue denim skirt,3T,15,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-4T,Solid Dark blue denim skirt,4T,15,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-5Y,Solid Dark blue denim skirt,5,15,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-6Y,Solid Dark blue denim skirt,6,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-7Y,Solid Dark blue denim skirt,7,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-8Y,Solid Dark blue denim skirt,8,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-10Y,Solid Dark blue denim skirt,10,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-12Y,Solid Dark blue denim skirt,12,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-14Y,Solid Dark blue denim skirt,14,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5299-16Y,Solid Dark blue denim skirt,16,20,Solid Dark blue denim skirt,Girls Skirts,Blue,Girls 
5403-2T,Mustard Chino Skirt,2T,20,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-3T,Mustard Chino Skirt,3T,20,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-4T,Mustard Chino Skirt,4T,20,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-5Y,Mustard Chino Skirt,5,20,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-6Y,Mustard Chino Skirt,6,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-7Y,Mustard Chino Skirt,7,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-8Y,Mustard Chino Skirt,8,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-10Y,Mustard Chino Skirt,10,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-12Y,Mustard Chino Skirt,12,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-14Y,Mustard Chino Skirt,14,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5403-16Y,Mustard Chino Skirt,16,25,Mustard Chino Skirt,Girls Skirts,Mustard,Girls 
5364-3M,Red floral set with bloomers,3 M,25,Red floral set with bloomers,Infant  Girls Bloomer Set,Red,Girls 
5364-6M,Red floral set with bloomers,6 M,25,Red floral set with bloomers,Infant  Girls Bloomer Set,Red,Girls 
5364-9M,Red floral set with bloomers,9 M,25,Red floral set with bloomers,Infant  Girls Bloomer Set,Red,Girls 
5364-12M,Red floral set with bloomers,12 M,25,Red floral set with bloomers,Infant  Girls Bloomer Set,Red,Girls 
5364-18M,Red floral set with bloomers,18 M,25,Red floral set with bloomers,Infant  Girls Bloomer Set,Red,Girls 
7831B-6M,Blue Swiss Dot Bodysuit,6 M,32,Blue Swiss Dot Bodysuit,Infant Boys Bodysuits,Blue,Boys
